titulo,ubicacion,sector,precio_usd,area_m2,habitaciones,banos,parqueaderos,antiguedad_anos
"Casa/Dep en Venta de 178m² en Tumbaco, Quito",Quito,Tumbaco,228600.0,178.8,4,4,2,1
"Casa/Dep en Venta de 202m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,174200.0,202.0,4,4,2,7
"Casa/Dep en Venta de 173m² en Samborondón, Guayaquil",Guayaquil,Samborondón,267400.0,173.1,4,3,3,16
"Casa/Dep en Venta de 195m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,195800.0,195.0,4,4,3,6
"Casa/Dep en Venta de 181m² en El Batán, Quito",Quito,El Batán,247300.0,181.6,3,4,2,9
"Casa/Dep en Venta de 371m² en La Carolina, Quito",Quito,La Carolina,470100.0,371.0,5,6,4,18
"Casa/Dep en Venta de 375m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,340000.0,375.3,5,4,2,1
"Casa/Dep en Venta de 82m² en Samborondón, Guayaquil",Guayaquil,Samborondón,118200.0,82.5,2,2,1,0
"Casa/Dep en Venta de 203m² en Cumbayá, Quito",Quito,Cumbayá,390300.0,203.3,3,3,3,13
"Casa/Dep en Venta de 129m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,126200.0,129.5,2,3,2,13
"Casa/Dep en Venta de 110m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,121900.0,110.7,2,3,2,16
"Casa/Dep en Venta de 271m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,470300.0,271.2,4,4,4,1
"Casa/Dep en Venta de 95m² en Cumbayá, Quito",Quito,Cumbayá,161400.0,95.7,2,3,1,14
"Casa/Dep en Venta de 172m² en González Suárez, Quito",Quito,González Suárez,304500.0,172.7,4,3,2,2
"Casa/Dep en Venta de 180m² en La Carolina, Quito",Quito,La Carolina,232000.0,180.3,4,3,3,23
"Casa/Dep en Venta de 152m² en Centro Histórico, Quito",Quito,Centro Histórico,153900.0,152.8,4,4,3,1
"Casa/Dep en Venta de 187m² en Centro Histórico, Quito",Quito,Centro Histórico,176900.0,187.9,4,3,3,8
"Casa/Dep en Venta de 102m² en El Batán, Quito",Quito,El Batán,150900.0,102.3,3,2,2,8
"Casa/Dep en Venta de 306m² en Centro Histórico, Quito",Quito,Centro Histórico,251100.0,306.5,5,6,2,15
"Casa/Dep en Venta de 226m² en Samborondón, Guayaquil",Guayaquil,Samborondón,446600.0,226.1,3,4,3,1
"Casa/Dep en Venta de 260m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,257800.0,260.4,6,4,2,4
"Casa/Dep en Venta de 163m² en González Suárez, Quito",Quito,González Suárez,251100.0,163.3,3,4,2,12
"Casa/Dep en Venta de 314m² en Tumbaco, Quito",Quito,Tumbaco,295800.0,314.3,4,5,3,23
"Casa/Dep en Venta de 96m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,92500.0,96.1,3,3,1,31
"Casa/Dep en Venta de 84m² en Tumbaco, Quito",Quito,Tumbaco,106100.0,84.2,3,3,1,2
"Casa/Dep en Venta de 205m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,179600.0,205.1,4,4,2,3
"Casa/Dep en Venta de 176m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,257400.0,176.0,4,4,3,1
"Casa/Dep en Venta de 148m² en Centro Histórico, Quito",Quito,Centro Histórico,121100.0,148.4,3,4,2,0
"Casa/Dep en Venta de 173m² en Samborondón, Guayaquil",Guayaquil,Samborondón,230500.0,173.2,4,4,2,3
"Casa/Dep en Venta de 139m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,208900.0,139.4,2,3,1,20
"Casa/Dep en Venta de 172m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,156700.0,172.8,3,4,2,11
"Casa/Dep en Venta de 148m² en La Carolina, Quito",Quito,La Carolina,207300.0,148.4,4,3,3,5
"Casa/Dep en Venta de 103m² en González Suárez, Quito",Quito,González Suárez,171500.0,103.0,2,3,2,11
"Casa/Dep en Venta de 220m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,289800.0,220.8,3,4,3,6
"Casa/Dep en Venta de 171m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,199500.0,171.9,4,4,3,2
"Casa/Dep en Venta de 136m² en Samborondón, Guayaquil",Guayaquil,Samborondón,163900.0,136.5,2,3,1,3
"Casa/Dep en Venta de 142m² en Centro Histórico, Quito",Quito,Centro Histórico,97000.0,142.1,3,4,2,17
"Casa/Dep en Venta de 320m² en La Carolina, Quito",Quito,La Carolina,505400.0,320.3,6,4,2,5
"Casa/Dep en Venta de 185m² en Tumbaco, Quito",Quito,Tumbaco,203800.0,185.1,3,3,2,10
"Casa/Dep en Venta de 123m² en Tumbaco, Quito",Quito,Tumbaco,151800.0,123.0,2,3,1,3
"Casa/Dep en Venta de 249m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,253100.0,249.0,3,4,3,34
"Casa/Dep en Venta de 107m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,141200.0,107.5,2,2,1,1
"Casa/Dep en Venta de 141m² en Samborondón, Guayaquil",Guayaquil,Samborondón,215100.0,141.9,3,3,3,2
"Casa/Dep en Venta de 183m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,130000.0,183.2,4,4,2,32
"Casa/Dep en Venta de 165m² en La Carolina, Quito",Quito,La Carolina,202900.0,165.1,3,3,3,16
"Casa/Dep en Venta de 145m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,157600.0,145.8,3,3,3,8
"Casa/Dep en Venta de 186m² en Centro Histórico, Quito",Quito,Centro Histórico,183300.0,186.5,4,4,2,2
"Casa/Dep en Venta de 141m² en Centro Histórico, Quito",Quito,Centro Histórico,138200.0,141.3,4,3,3,4
"Casa/Dep en Venta de 98m² en El Batán, Quito",Quito,El Batán,130800.0,98.8,2,3,2,7
"Casa/Dep en Venta de 225m² en El Batán, Quito",Quito,El Batán,251900.0,225.6,3,4,2,5
"Casa/Dep en Venta de 141m² en Centro Histórico, Quito",Quito,Centro Histórico,133100.0,141.9,4,4,3,1
"Casa/Dep en Venta de 255m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,397000.0,255.9,6,6,3,9
"Casa/Dep en Venta de 217m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,326400.0,217.2,3,3,3,4
"Casa/Dep en Venta de 220m² en El Batán, Quito",Quito,El Batán,250100.0,220.8,3,4,3,26
"Casa/Dep en Venta de 205m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,251400.0,205.5,3,4,3,1
"Casa/Dep en Venta de 185m² en González Suárez, Quito",Quito,González Suárez,261200.0,185.7,4,3,3,14
"Casa/Dep en Venta de 203m² en Samborondón, Guayaquil",Guayaquil,Samborondón,313800.0,203.0,4,4,3,1
"Casa/Dep en Venta de 207m² en Centro Histórico, Quito",Quito,Centro Histórico,171500.0,207.2,3,3,2,5
"Casa/Dep en Venta de 244m² en Tumbaco, Quito",Quito,Tumbaco,282700.0,244.4,4,4,2,13
"Casa/Dep en Venta de 85m² en El Batán, Quito",Quito,El Batán,101400.0,85.1,3,3,1,2
"Casa/Dep en Venta de 181m² en La Carolina, Quito",Quito,La Carolina,286000.0,181.2,4,3,3,18
"Casa/Dep en Venta de 240m² en Tumbaco, Quito",Quito,Tumbaco,226000.0,240.9,4,4,3,7
"Casa/Dep en Venta de 104m² en Centro Histórico, Quito",Quito,Centro Histórico,99200.0,104.4,3,3,2,12
"Casa/Dep en Venta de 225m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,343600.0,225.1,4,4,3,12
"Casa/Dep en Venta de 152m² en Samborondón, Guayaquil",Guayaquil,Samborondón,197900.0,152.3,3,3,2,10
"Casa/Dep en Venta de 184m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,197100.0,184.7,3,3,2,16
"Casa/Dep en Venta de 258m² en Tumbaco, Quito",Quito,Tumbaco,298800.0,258.6,6,5,3,14
"Casa/Dep en Venta de 163m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,144300.0,163.2,4,3,2,1
"Casa/Dep en Venta de 235m² en Samborondón, Guayaquil",Guayaquil,Samborondón,306600.0,235.0,3,4,2,8
"Casa/Dep en Venta de 208m² en Samborondón, Guayaquil",Guayaquil,Samborondón,430800.0,208.5,3,3,3,3
"Casa/Dep en Venta de 93m² en Cumbayá, Quito",Quito,Cumbayá,148100.0,93.5,2,3,1,23
"Casa/Dep en Venta de 198m² en El Batán, Quito",Quito,El Batán,240300.0,198.9,3,3,3,7
"Casa/Dep en Venta de 187m² en El Batán, Quito",Quito,El Batán,245200.0,187.2,4,4,3,20
"Casa/Dep en Venta de 134m² en González Suárez, Quito",Quito,González Suárez,209800.0,134.8,2,3,2,7
"Casa/Dep en Venta de 310m² en La Carolina, Quito",Quito,La Carolina,386200.0,310.7,4,5,3,20
"Casa/Dep en Venta de 125m² en La Carolina, Quito",Quito,La Carolina,160200.0,125.2,2,2,1,14
"Casa/Dep en Venta de 183m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,206100.0,183.6,4,3,2,4
"Casa/Dep en Venta de 170m² en La Carolina, Quito",Quito,La Carolina,251000.0,170.0,4,3,3,0
"Casa/Dep en Venta de 124m² en El Batán, Quito",Quito,El Batán,122400.0,124.1,3,3,2,20
"Casa/Dep en Venta de 111m² en Samborondón, Guayaquil",Guayaquil,Samborondón,136500.0,111.9,2,2,1,4
"Casa/Dep en Venta de 163m² en Tumbaco, Quito",Quito,Tumbaco,175600.0,163.8,4,3,2,1
"Casa/Dep en Venta de 176m² en Tumbaco, Quito",Quito,Tumbaco,196100.0,176.5,3,3,2,6
"Casa/Dep en Venta de 216m² en Cumbayá, Quito",Quito,Cumbayá,329600.0,216.2,4,4,3,1
"Casa/Dep en Venta de 169m² en Samborondón, Guayaquil",Guayaquil,Samborondón,243700.0,169.6,3,3,3,5
"Casa/Dep en Venta de 189m² en Samborondón, Guayaquil",Guayaquil,Samborondón,297400.0,189.9,4,3,2,1
"Casa/Dep en Venta de 190m² en Samborondón, Guayaquil",Guayaquil,Samborondón,420600.0,190.3,3,4,2,0
"Casa/Dep en Venta de 119m² en Centro Histórico, Quito",Quito,Centro Histórico,117900.0,119.8,2,2,2,11
"Casa/Dep en Venta de 68m² en González Suárez, Quito",Quito,González Suárez,82500.0,68.7,1,1,0,4
"Casa/Dep en Venta de 193m² en González Suárez, Quito",Quito,González Suárez,270200.0,193.6,4,4,3,15
"Casa/Dep en Venta de 217m² en La Carolina, Quito",Quito,La Carolina,303500.0,217.1,4,4,3,8
"Casa/Dep en Venta de 175m² en Samborondón, Guayaquil",Guayaquil,Samborondón,257100.0,175.5,4,4,2,10
"Casa/Dep en Venta de 182m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,190500.0,182.0,3,4,3,2
"Casa/Dep en Venta de 171m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,156800.0,171.7,4,3,2,8
"Casa/Dep en Venta de 165m² en Tumbaco, Quito",Quito,Tumbaco,211200.0,165.7,3,4,2,10
"Casa/Dep en Venta de 197m² en González Suárez, Quito",Quito,González Suárez,272500.0,197.0,4,4,3,8
"Casa/Dep en Venta de 127m² en González Suárez, Quito",Quito,González Suárez,151800.0,127.6,3,3,1,0
"Casa/Dep en Venta de 328m² en El Batán, Quito",Quito,El Batán,372800.0,328.3,5,5,3,13
"Casa/Dep en Venta de 133m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,176700.0,133.5,2,2,2,7
"Casa/Dep en Venta de 106m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,132400.0,106.9,3,3,2,6
"Casa/Dep en Venta de 147m² en Centro Histórico, Quito",Quito,Centro Histórico,138700.0,147.6,3,4,2,11
"Casa/Dep en Venta de 178m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,277400.0,178.0,4,4,2,4
"Casa/Dep en Venta de 228m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,332300.0,228.2,3,4,3,1
"Casa/Dep en Venta de 186m² en Cumbayá, Quito",Quito,Cumbayá,252400.0,186.6,3,4,3,0
"Casa/Dep en Venta de 218m² en El Batán, Quito",Quito,El Batán,281700.0,218.9,3,3,3,8
"Casa/Dep en Venta de 217m² en Centro Histórico, Quito",Quito,Centro Histórico,244700.0,217.0,3,4,3,1
"Casa/Dep en Venta de 308m² en El Batán, Quito",Quito,El Batán,446400.0,308.4,4,4,4,1
"Casa/Dep en Venta de 239m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,230900.0,239.0,3,3,3,5
"Casa/Dep en Venta de 193m² en Centro Histórico, Quito",Quito,Centro Histórico,139000.0,193.3,3,4,2,2
"Casa/Dep en Venta de 134m² en Tumbaco, Quito",Quito,Tumbaco,172700.0,134.4,2,3,1,10
"Casa/Dep en Venta de 94m² en González Suárez, Quito",Quito,González Suárez,139200.0,94.3,3,3,2,8
"Casa/Dep en Venta de 191m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,370000.0,191.9,4,4,2,0
"Casa/Dep en Venta de 102m² en El Batán, Quito",Quito,El Batán,110600.0,102.8,2,3,1,5
"Casa/Dep en Venta de 254m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,264300.0,254.2,6,6,2,0
"Casa/Dep en Venta de 159m² en La Carolina, Quito",Quito,La Carolina,191600.0,159.4,4,4,3,9
"Casa/Dep en Venta de 155m² en Centro Histórico, Quito",Quito,Centro Histórico,114300.0,155.6,4,3,3,12
"Casa/Dep en Venta de 249m² en Samborondón, Guayaquil",Guayaquil,Samborondón,325800.0,249.3,4,3,3,3
"Casa/Dep en Venta de 165m² en Centro Histórico, Quito",Quito,Centro Histórico,151500.0,165.8,4,4,3,16
"Casa/Dep en Venta de 224m² en Centro Histórico, Quito",Quito,Centro Histórico,184700.0,224.0,4,4,3,9
"Casa/Dep en Venta de 225m² en Tumbaco, Quito",Quito,Tumbaco,327800.0,225.2,3,4,2,2
"Casa/Dep en Venta de 188m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,342900.0,188.9,3,4,3,9
"Casa/Dep en Venta de 166m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,294400.0,166.6,4,3,3,23
"Casa/Dep en Venta de 174m² en Cumbayá, Quito",Quito,Cumbayá,232100.0,174.9,3,4,2,3
"Casa/Dep en Venta de 215m² en El Batán, Quito",Quito,El Batán,267900.0,215.0,3,4,2,0
"Casa/Dep en Venta de 280m² en González Suárez, Quito",Quito,González Suárez,457000.0,280.2,5,6,2,0
"Casa/Dep en Venta de 88m² en La Carolina, Quito",Quito,La Carolina,141600.0,88.5,3,3,2,3
"Casa/Dep en Venta de 199m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,224500.0,199.2,4,3,3,2
"Casa/Dep en Venta de 183m² en Centro Histórico, Quito",Quito,Centro Histórico,155400.0,183.1,4,4,3,40
"Casa/Dep en Venta de 140m² en Centro Histórico, Quito",Quito,Centro Histórico,137300.0,140.2,3,3,2,5
"Casa/Dep en Venta de 201m² en Samborondón, Guayaquil",Guayaquil,Samborondón,230600.0,201.3,3,3,3,11
"Casa/Dep en Venta de 94m² en La Carolina, Quito",Quito,La Carolina,130100.0,94.2,2,3,1,2
